Part Number,QtyRealTimeOnHand,QtyOnPurchaseOrder,Minimum_Stock_Level,Custom_Real_01
C2-60-12V,43,0,25,1
C2-60E/PG,50,0,0,1
C2-6DC-RPG,58,0,0,1
C2-6PG,67,0,0,1
C2-8DC-RPG,118,0,0,1
C2-8PG,65,0,0,1
C2-96-24V,102,0,50,1
C2-96-24V/277,9,0,0,1
CABLE-BK,81251.503,21900,50000,1
CABLE-CAT5-25,229,0,50,1
CABLE-CAT5-50,75,0,0,1
CABLE-DMX,1399.83,0,0,1
CABLE-GR,800,0,0,1
CABLE-KS,0,0,0,1
CABLE-WH,33929.963,0,30000,1
CC-40-DIODE,73,0,50,1
CC-BOX,58,0,0,1
CC-LENS,95,0,0,1
CL-100,2529.8,0,1000,3.28
CL-150,3219.997,0,1000,3.28
CL-201,6160.238,0,0,1
CL-202,9174.842,0,5000,1
CL-203,16720.59,0,10000,1
CL-30,2281.16,0,1640,3.28
CL-300,600,0,0,3.28
CL-50,5274.52,0,1640,3.28
CL-60,0.11,0,0,3.28
CL-80,1440.44,0,1640,3.28
CL-AM,2000,0,0,1
CL-BL,1000,0,0,1
CL-GR,1000,0,0,1
CL-IW,250,0,0,1
CL-RD,1000,0,0,1
CL-SO,1000,0,0,1
CL-WH,1000,0,0,1
CLED-2000K,7261.28,1000,5000,1
CLED-2500K,27999.06,0,5000,1
CLED-2700K,0,0,0,1
CLED-3000K,9237.97,0,5000,1
CLED-5000K,6486.86,0,5000,1
CLED-AM,5888.52,0,2500,1
CLED-BL,2564.97,0,2500,1
CLED-GR,6616.36,0,2500,1
CLED-RD,4705.33,0,2500,1
CR-B,4265.18,0,0,1
CR-BL,729,0,0,1
CR-DF,4160.81,0,0,1
CR-EC,589,0,0,1
CR-GL,2605,0,0,1
CR-KB,2700,0,0,1
CR-LV,1726,0,0,1
CR-RD,607,0,0,1
CR-RS,470,0,0,1
CR-S,2779.64,0,0,1
CR-TL,1191,0,0,1
CT-B,10628.21,0,0,1
CT-BL,1185,0,0,1
CT-DF,4274.65,0,0,1
CT-EC,661,0,500,1
CT-GL,530,0,0,1
CT-KB,1104,0,0,1
CT-LV,1017,0,0,1
CT-RD,916,0,0,1
CT-RS,428,0,0,1
CT-S,7732.22,0,5000,1
CT-TL,777,0,0,1
CTO-CP,5180,0,2500,1
DC-CONN,580,0,0,1
DMX-CTR,0,0,0,1
DMX-CTR-B,0,0,0,1
DMX-CTR-W,0,0,0,1
DOOSH-2F,15,0,0,1
DOOSH-2M,45,0,0,1
EC-B,182,0,0,1
EC-BK,2456,0,0,1
EC-D,2711,0,1000,1
EC-FL,9223,0,1000,1
EC-L,7710,0,1000,1
EC-M,4631,0,1000,1
EC-PG,1307,0,0,1
EC-SC,2673,0,0,1
EC-TXA,974,0,0,1
EC-W,626,0,0,1
ECD-BK,18709,0,1000,1
ECD-CL,6448,0,1000,1
ECD-WH,2187,0,1000,1
ECL-BK,4494,0,1000,1
ECL-CL,5559,0,1000,1
ECL-WH,5858,0,1000,1
ECM-L,2161,0,1000,1
ECW-L,2954,0,1000,1
EMC-500-ATLA,0,0,0,1
EMC-CON-500,0,0,0,1
EMC-CON-500-90D,0,0,0,1
ENCL12124,112,0,0,1
EX-112,387.095,0,0,1
EX-124,5003.673,0,2500,1
EX-212,2153.457,0,0,1
EX-BL,2377.064,0,1000,1
EX-CAP,2.116,0,0,1
EX-CB,950,0,0,1
EX-CMP-B,0,0,0,1
EX-CMP-W,0,0,0,1
EX-CNT,69047.859,0,40000,1
EX-CS-P,906,750,0,1
EX-CS1,221,375,100,1
EX-CS2,240,375,100,1
EX-CS3,244,0,100,1
EX-CS4,570,0,100,1
EX-CUBE-CL,0,0,0,1
EX-CUBE-RD,0,0,0,1
EX-EB,30,0,0,1
EX-G14-CL,6957.573,0,5600,1
EX-G14-FR,18201.937,0,5600,1
EX-GR,1235.464,0,1000,1
EX-HD-NUT,20,0,0,1
EX-HD-SCREW,20,0,0,1
EX-LSK-BK,31068.892,0,20000,1
EX-LSK-WH,11480.168,0,10000,1
EX-MA-BK,889,0,0,1
EX-MA-WH,3669,0,0,1
EX-MD-BK,9674,0,5000,1
EX-MD-BK-old,10244,0,0,1
EX-MD-WH,6825,0,5000,1
EX-MD-WH-old,9744,0,0,1
EX-MDA-BK,3340,12000,10000,1
EX-MDA-WH,7253,0,5000,1
EX-MDASCR,6797,0,0,1
EX-MS-BK,11741,5000,5000,1
EX-MS-WH,9565,0,5000,1
EX-OR,1278.484,0,1000,1
EX-OR-03,7312.73,0,0,1
EX-OR-22,39557.485,0,40000,1
EX-ORING,2419.8,0,0,1
EX-PEND,395,0,100,1
EX-PEND-CV-BK,50,0,25,1
EX-PEND-CV-BR,50,0,25,1
EX-PEND-CV-WH,50,0,25,1
EX-PL,1104.164,0,1000,1
EX-RD,1475.064,0,1000,1
EX-RGB-300,2507,0,0,1
EX-RGB-LEAD,296,0,0,1
EX-S-AM,946.55,0,0,1
EX-S-BL,922,0,0,1
EX-S-CL,2206.58,0,0,1
EX-S-FR,1812.04,0,0,1
EX-S-GR,841,0,0,1
EX-S-RD,480,0,0,1
EX-S-VL,899,0,0,1
EX-S14-CL,8536.069,0,5000,1
EX-S14-FR,7903.825,0,5000,1
EX-SCR,133321.339,0,80000,1
EX-SCREW,7000,0,0,1
EX-SH,11358.933,5000,5000,1
EX-SILICONE,111.43,0,0,1
EX-SKT-BK,241,0,0,1
EX-SKT-WH,1552.84,0,0,1
EX-SPH-AM,1466.596,0,1000,1
EX-SPH-BL,1949.808,0,1000,1
EX-SPH-CL,14027.541,11200,10000,1
EX-SPH-FR,6585.157,11200,10000,1
EX-SPH-GR,1075.772,0,1000,1
EX-SPH-RD,1698.353,0,1000,1
EX-SPH-VL,1379.726,0,1000,1
EX-TK,202,0,50,1
EX-TOOL,12,0,0,0
EX-UB-2700K,75,0,0,1
EX-UB-IW,6164.689,0,7500,1
EX-UB-LW,4893.177,0,5000,1
EX-UB-WW,7832.167,0,7500,1
EX-USK-BK,31494.448,0,20000,1
EX-USK-WH,8884.981,0,10000,1
EX-VI-2700K,2.05,500,0,1
EX-VI-5000K,1720,1000,1000,1
EX-VI-IW,5307.046,5000,7500,1
EX-VI-LW,5496.4,0,5000,1
EX-VI-WW,7271.378,15000,7500,1
EX-WH,3762.666,0,2500,1
EX-WR,4874,0,0,1
EX-WW,3349.918,10000,7500,1
EX-YG,1884.384,0,1000,1
EXC-EC,1266,0,200,1
EXC-SPL,1759,0,200,1
EXCH-B-NA,7174,0,5000,1
EXCH-B-PA,164,0,0,1
EXCH-B-PG,482,0,0,1
EXCH-B-SA,5008.339,0,5000,1
EXCH-B2-BK,560,0,1000,1
EXCH-B2-NA,6252,0,2500,1
EXCH-B2-SA,856.71,0,2500,1
EXCH-B2-WH,874,0,1000,1
EXCH-C-BK,380,0,1000,1
EXCH-C-NA,7429,0,2500,1
EXCH-C-PA,205,0,0,1
EXCH-C-PG,451,0,0,1
EXCH-C-SA,10687.799,0,5000,1
EXCH-C-WH,892,0,1000,1
EXSS-CABLE,800,0,200,1
EXSS-CP-CG,580,0,50,1
EXSS-CP-FLG-BK,83,0,25,1
EXSS-CP-FLG-WH,50,0,25,1
EXSS-CP-SCR,200,0,100,1
EXSS-CP-SPG,100,0,100,1
EXSS-L300,0,0,0,1
EXSS-PM-CVR-BK,50,0,25,1
EXSS-PM-CVR-WH,50,0,25,1
EXSS-PM-FRAME,100,0,50,1
EXSS-PM-SCR,200,0,100,1
EXSS-PM-SPG,100,0,50,1
FILTER-DIFFUSER,400,0,0,1
FILTER-KB,0,0,0,1
FL-200,2985,0,2000,1
FL-300,2361,0,2000,1
FL-400,1000,0,0,1
FLBK,8326.586,0,5000,3.28
FLBK-110-HM,4817.228,0,2500,0.361
FLBK-160-HM,10873.477,0,5000,0.525
FLBK-210-HM,6304.831,0,5000,0.689
FLBK-310-HM,8809.807,0,5000,1.02
FLBK-410-HM,9860.727,0,2500,1.35
FLBK-60-HM,2771.791,0,2500,0.197
FLGR,7750,0,5000,3.28
FLN-3000K-03D-B,17,0,10,1
FLN-5000K-03D-B,7,0,10,1
FLWG,8089.656,0,5000,3.28
FLWG-110-HM,98.165,0,0,0.361
FLWG-160-HM,15871.091,41575,3930,0.525
FLWG-210,5203.3,0,0,3.28
FLWG-210-HM,8582.732,0,3440,0.689
FLWG-310-HM,7753.422,0,5280,1.02
FSM-3000K-03D-B,27,0,10,1
FSM-3000K-03D-W,18,0,10,1
FSM-5000K-03D-B,22,0,10,1
FSM-5000K-03D-W,14,0,10,1
FSM-LNS-CL,477,0,100,1
FSP-3000K-03D-B,12,0,10,1
FSP-4000K-03D-B,0,0,0,1
FSP-5000K-03D-B,15,0,10,1
FT19-BK,947,0,0,1
GR-100-IW-08D-1600,11,0,0,1
GR-100-IW-08D-800,10,0,0,1
GR-A-MB,153,0,0,1
GR-B-EX-2.32M,0,0,0,1
GR-B-EX-2.4M,214.94,0,0,1
GR-BOX,18,0,0,1
GR-C-EX-100MM-2.4M,237.73,0,0,1
GR-C-EX-2.4M,23.54,0,0,1
GR-C-EX-75MM-2.4M,3.4,0,0,1
GR-EC,573,0,0,1
GR-EC-PG,890,0,0,1
GR-F-MB,478,0,0,1
GR-FOAM-FLAT,100,0,0,1
GR-FOAM-P&P,75,0,0,1
GR-INV-CARD,596,0,0,1
GR-LED-2700K-G1,14,0,0,1
GR-LED-BL,165,0,0,1
GR-LED-IW,418.72,0,0,1
GR-LED-NW,964,0,0,1
GR-LF-1.83M,478,0,0,1
GR-LNS-20D,4731.76,0,0,1
GR-LNS-40D,1651,0,0,1
GR-LNS-8D,1413.84,0,0,1
GR-LNS-GD/CL,1732.72,0,0,1
GR-LNS-GD/FR,1356,0,0,1
GR-LNS-SP,632.12,0,0,1
GR-MB-SC,3000,0,0,1
GR-MC,1285,0,0,1
GR-SR,1796,0,0,1
GR-SR-SC,1774,0,0,1
GREEN PLED-IW,24416.03,0,0,1
GRHB-100,501.576,0,100,1
GRHB-2200,0,0,0,1
GRHB-2200-L,26,0,0,1
GRHB-2700,1741,0,1000,1
GRHB-2700-L,1390,0,500,1
GRHB-3000,2265,0,1000,1
GRHB-3000-L,1056,0,500,1
GRHB-3500,115,0,0,1
GRHB-4000,1745,0,1000,1
GRHB-4000-L,726,0,500,1
GRHB-60,237.3,0,100,1
GRHB-75,289.255,0,100,1
GRHB-AB,1414,0,1000,1
GRHB-BASE,556.131,0,400,1
GRHB-EC,862,0,500,1
GRHB-FB,917,0,500,1
GRHB-GLVR,101.279,0,100,1
GRHB-HLVR,1120,0,1000,1
GRHB-LC,4760,0,3000,1
GRHB-LNS-15D,1914,0,1000,1
GRHB-LNS-8D,1933,0,1000,1
GRHB-LNS-SP,3156,0,1000,1
GRHB-PLVR,2417,0,1000,1
GRX-2700-15D-1200,97,0,100,1
GRX-2700-15D-300,69,0,50,1
GRX-2700-15D-600,145,0,75,1
GRX-3000-15D-1200,264,0,250,1
GRX-3000-15D-300,161,0,100,1
GRX-3000-15D-600,133,0,100,1
GRX-4000-15D-1200,110,0,100,1
GRX-4000-15D-300,59,0,50,1
GRX-4000-15D-600,87,0,75,1
GRX-CABLE,485,0,200,1
GRX-CON,369,0,300,1
GRX-CP,480,0,250,1
GRX-EC,577,0,300,1
GRX-EXT-1M,168,0,200,1
GRX-EXT-3M,225,0,200,1
GRX-LVR,678,0,500,1
GRX-LVR-BK,264.25,0,500,1
GRX-LVR-MILL,3500,0,2500,1
GRX-LVR-SCREW,4079,0,2500,1
GRX-Y-CON,302,0,200,1
HBL-BOOT,45,0,0,1
HBL-CONN,45,0,0,1
HC-10/BOX-GSKT,320,0,200,1
HC-10/NUT,4275,0,0,1
HC-10/PLUG,1557,0,200,1
HINGE-BK,1722,0,500,1
ICP,5,0,0,1
ILS-BASE,1105,0,500,1
ILS-COVER,1030,0,500,1
ILS-EC,1149,0,500,1
ILS-FB,997,0,500,1
KIT-BOX-SM,0,0,0,1
KLED-IW-CF,3064.7,0,2500,1
KLED-IW-FF,4698.06,0,2500,1
KLED-IW-SF,3119.24,0,2500,1
KLED-WH-FF,870.16,0,0,1
KLED-WH-SF,456,0,0,1
KLED-WH-ST,0.002,0,0,1
KLED-WW-CF,1853.045,2500,2500,1
KLED-WW-CT,3059.01,0,2500,1
KLED-WW-SF,4139.25,86,2500,1
KS-GS-LW,0,0,0,1
KS-MS,0,0,0,1
KSG-CABLE,1266.6,0,1000,1
KSG-CONTACT,13653.16,0,15000,1
KSG-ED,460,0,500,1
KSG-GL-UB-C,1605.2,0,1000,1
KSG-GL-UB-F,2458,0,2000,1
KSG-GL-VI-C,2501,0,2000,1
KSG-GS-LW,3648.2,0,2000,1
KSG-LR,2325.72,0,2000,1
KSG-LR-SCR,3150.72,0,2000,1
KSG-LSK-BK,4550.72,0,5000,1
KSG-MC-2.4M-BK,57.284,0,50,1
KSG-MD,1132,0,1000,1
KSG-MDA,1708,0,2000,1
KSG-MS,1994,0,1000,1
KSG-PM,573,0,1000,1
KSG-RGBW,4940.72,0,5000,1
KSG-SEAL-MOD,4281.72,0,5000,1
KSG-SKT-SCR,18515.88,0,20000,1
KSG-USK-BK,4495.72,0,5000,1
KSW-CON-DC-30M,32,0,25,1
KSW-CON-LC-10M,43,0,50,1
KSW-CON-T,34,0,50,1
KSW-EXT-1M,24,0,50,1
KSW-EXT-DC-15M,26,0,25,1
KSW-L1200-RGBW-20D,36,0,50,1
KSW-L300-RGBW-20D,42,0,50,1
KSW-L600-RGBW-20D,29,0,50,1
KSW-L900-RGBW-20D,21,0,25,1
LC-1CH-DP,193,0,100,1
LC-1CH-DP-5V,1,0,0,1
LC-1CH-MULTI,729,0,500,1
LC-3CH-CM,8,0,20,1
LC-3CH-DMX,352,0,500,1
LC-3CH-DP,45,0,50,1
LC-4CH-DMX,5,0,0,1
LC-CLR-DMX,3,0,0,1
LC-DMR,12,0,25,1
LC-DMR-5V,1,0,0,1
LC-DMR-BKK,60,0,30,1
LC-DMR-EZ,49,0,25,1
LC-DMR-SVK,60,0,30,1
LC-DMX-5A,300,0,0,1
LC-DMX-BUD,4,0,0,1
LC-GR-DP,16,0,20,1
LC-KSG-MIX,15,50,50,1
LC-KSW-DC,32,0,25,1
LC-KT-DMR,13,0,0,1
LC-KT-DP,90,0,0,1
LC-KT-SCDP,13,0,0,1
LC-OB-DIM,0,0,0,1
LC-PWM-SD,288,0,25,1
LC-SB,28,0,0,1
LC-SC,5,0,0,1
LC-SPL-DMX,1,0,0,1
LC-SPL2-DMX,0,0,0,1
LDCC-50W-700DALI,3,0,0,1
LDR-3DA,24,0,0,1
LDR-DIM,99,0,100,1
LDR12-20,2,0,0,1
LDR12-60,6,0,0,1
LDR24-120,8,0,0,1
LDR24-120-DALI,51,0,50,1
LDR24-16,104,0,25,1
LDR24-192,223,0,0,1
LDR24-20,0,0,0,1
LDR24-25,112,0,25,1
LDR24-40,120,0,50,1
LDR24-96,214,250,200,1
LDR24-96W,203,0,100,1
LDR8-150,5,0,0,1
LDR8-200,12,0,0,1
LDR8-40,702,1008,1500,1
LDR8-80,192,504,1000,1
LDR8/40,20,0,0,1
LDRCC-40,291,0,100,1
LDRCC-40-LINEAR,0,0,0,1
LDRCC-40-NS,0,0,0,1
LED-AM,2194,0,0,1
LED-BL,0,0,0,1
LED-BOX,203,0,0,1
LED-BOX-5,46,0,0,1
LED-GR,2466,0,0,1
LED-IW,1300,0,0,1
LED-IW-120,0,0,0,1
LED-IW-A3,500,0,0,1
LED-IW-CF,4000,0,0,1
LED-RD,2000,0,0,1
LED-SO,650,0,0,1
LED-WH,2500,0,0,1
LED-WH-120DV,760,0,0,1
LED-WH-FL,990,0,0,1
LG-875,624,0,0,1
LG-C,0,0,0,1
LINECORD10,68,0,0,1
LLDR6-60,80,0,0,1
LPS-350-6CH,46,0,50,1
LPS-8.4-24,2,0,0,1
LPSDM-350-6CH,70,0,50,1
LSB-100,3989.64,0,2000,3.28
LSB-150,3627.04,0,2000,3.28
LSB-30,50,0,0,3.28
LSB-300,2451.6,0,2000,3.28
LSB-50,0.4,0,0,3.28
LSB-80,0,0,0,3.28
LSC,0,0,0,3.28
LSC-100,2727.48,0,2000,3.28
LSC-150,6046.8,0,2000,3.28
LSC-30,1659,0,1000,3.28
LSC-300,2512.8,0,2000,3.28
LSC-50,1613.24,0,1000,3.28
LSC-80,384,0,0,3.28
LSW-100,2541.56,0,2000,3.28
LSW-15,1247.76,0,500,3.28
LSW-150,1288.6,4920,2000,3.28
LSW-18AWG,2500,0,0,3.28
LSW-30,1855.2,980,2000,3.28
LSW-300,2865.24,0,2000,3.28
LSW-50,2899.58,0,2000,3.28
LSW-80,2399.04,0,2000,3.28
LUM-100-BL,1001.44,0,1000,0.328
LUM-100-IW,1656.32,0,1500,0.328
LUM-100-RD,0,0,0,0.328
LUM-100-WH,1740.36,0,1000,0.328
LUM-150-IW,0,0,0,0.492
LUM-200-CSTM,0.2,0,0,1
LUM-310-IW,107,0,0,1302
LUM-50-2200K,0,0,0,0.164
LUM-50-3000,133.339,0,0,0.164
LUM-50-4500,0,0,0,0.164
LUM-50-BL,1200.88,0,1000,0.164
LUM-50-IW,1886.882,0,2000,0.164
LUM-50-IW-F,0,0,0,0.164
LUM-50-IW-Z,1714,0,0,0.164
LUM-50-RD,0,0,0,0.164
LUM-50-WH,1709.92,0,1000,0.164
LUM-75-BL,0,0,0,0.246
LUM-75-IW,156,0,0,0.246
LUM-75-RD,0,0,0,0.246
LUM-LEAD,2969.84,0,1000,3.28
LUM-LNS,1839,0,0,1
LUM-RD-CSTM,0,0,0,1
LUN-BG,277,0,0,1
LUN-CP,116,0,0,1
LUN-LH,208,0,0,1
LUN-PB,115,0,0,1
LUN-STEM-L,0,0,0,1
LUN-STEM-M,0,0,0,1
LUN-STEM-S,0,0,0,1
LUN-STR,226,0,0,1
LUNH-11,0,0,0,1
LUNH-12,1,0,0,1
LUNH-13,0,0,0,1
LUNH-14,0,0,0,1
LUNH-15,0,0,0,1
LUNH-16,0,0,0,1
LUNH-17,0,0,0,1
LUNH-18,0,0,0,1
LUNH-19,0,0,0,1
LUNH-20,0,0,0,1
LUNH-21,0,0,0,1
LUNH-22,0,0,0,1
LUNH-23,1,0,0,1
LUNH-24,1,0,0,1
LUNH-25,0,0,0,1
LUNH-27,0,0,0,1
LV-BKT,2091,0,1000,1
LV-CH-WH,1581.2,0,1000,1
LV-CON,429,0,150,1
LV-CVR,2308.4,0,1000,1
LV-ECR,390,0,300,1
LV-ECS,285,0,300,1
LV-LTC,414,0,400,1
LV-SCR-SV,2158,0,400,1
LV-WFL,3,0,1,1
LVM-2700K,449,0,400,1
LVM-3000K,211,0,400,1
LVM-3500K,50,0,0,1
LVM-4000K,170,0,200,1
LW-3C-18GA,1200,0,0,1
LW-4C-18GA,3600,0,0,1
MC-BC,0.24,0,0,1
MC-BL,1282,0,0,1
MC-BW,6010.87,0,5000,1
MC-DF,2596.688,0,0,1
MC-EC,1640,0,500,1
MC-ECL,5120,0,500,1
MC-GL,2689,0,0,1
MC-KB,1816,0,0,1
MC-LV,2045,0,0,1
MC-RD,1525,0,0,1
MC-RS,2628,0,0,1
MC-S,4210.67,0,5000,1
MC-TL,1344,0,0,1
MDB-3000K-L1200-BK,0,10,0,1
MDB-3000K-L1200-CP,0,10,0,1
MDB-3000K-L600-BK,0,20,0,1
MDB-3000K-L600-CP,0,20,0,1
MDB-3500K-L1200-BK,0,10,0,1
MDB-3500K-L1200-CP,0,10,0,1
MDB-3500K-L600-BK,0,20,0,1
MDB-3500K-L600-CP,0,20,0,1
MDB-4000K-L1200-BK,0,10,0,1
MDB-4000K-L1200-CP,0,10,0,1
MDB-4000K-L600-BK,0,20,0,1
MDB-4000K-L600-CP,0,20,0,1
MDB-5000K-L1200-BK,0,10,0,1
MDB-5000K-L1200-CP,0,10,0,1
MDB-5000K-L600-BK,0,20,0,1
MDB-5000K-L600-CP,0,20,0,1
MDL-2700-B,41,0,30,1
MDL-2700-B-HF,0,0,0,1
MDL-2700-S,65,0,30,1
MDL-2700-W,48,0,30,1
MDL-3000-B,30,0,30,1
MDL-3000-B-CC,2,0,0,1
MDL-3000-B-HF,1,0,0,1
MDL-3000-S,68,0,30,1
MDL-3000-W,51,0,30,1
MDL-4000-B,41,0,30,1
MDL-4000-B-HF,0,0,0,1
MDL-4000-S,44,0,30,1
MDL-4000-W,31,0,30,1
MDL-5000-B,73,0,20,1
MDL-5000-B-HF,11,0,0,1
MDL-5000-HF30B-KIT,0,0,0,1
MDL-5000-S,43,0,20,1
MDL-5000-W,45,0,20,1
MDL-RED-HF30B-KIT,0,0,0,1
MDS-500-BK,0,100,0,1
MDS-500-CP,0,100,0,1
MFL-CV-BK,4,0,0,1
MFL-CV-SCR,992,0,0,1
MFL-CV-SV,4,0,0,1
MFL-CV-WH,6,0,0,1
MFL-HC-LNS,6,0,0,1
MFL-INCVR,6,0,0,1
MFL24-2200-BK,12,0,0,1
MFL24-2200-WH,12,0,0,1
MFL24-2700-BK,24,0,0,1
MFL24-2700-WH,24,0,0,1
MFL24-3000-BK,30,0,0,1
MFL24-3000-WH,30,0,0,1
MLC-2700-B,99,0,50,1
MLC-2700-W,61,0,50,1
MLC-3000-B,7,75,50,1
MLC-3000-W,98,0,50,1
MLC-3500-B,1,0,0,1
MLC-3500-W,0,0,0,1
MLC-4000-B,127,0,50,1
MLC-4000-W,34,0,25,1
MLC-5000-B,3,0,0,1
MLC-5000-W,4,0,0,1
MLC-BKT,310,0,0,1
MLC-CH-B,77.677,150,100,1
MLC-CH-W,124.837,0,100,1
MLC-CV-B,327.5,0,250,1
MLC-CV-W,262,0,250,1
MLC-EC-SCR,1051,0,500,1
MLC-EDC-B,729,0,250,1
MLC-EDC-W,281,0,250,1
MLC-EDL-B,225.5,0,250,1
MLC-EDL-W,263,0,250,1
MLC-LC-B,328.5,0,200,1
MLC-LC-W,165,0,200,1
MLC-M,5,0,10,1
MLC-W,5,0,10,1
MLX-F2,1049,0,0,1
MLX-F3,1249,0,0,1
MLX-F4,567,0,0,1
MLX-F6,3220,0,0,1
MLX-M2,1788,0,0,1
MLX-M3,800,0,0,1
MLX-M4,794,0,0,1
MLX-M6,1062,0,0,1
MLX-PIN-F,8114,0,0,1
MLX-PIN-M,11696,0,0,1
MPD-2700K-16D-B,0,0,0,1
MPD-2700K-16D-W,0,0,0,1
MPD-2700K-24D-B,3,0,0,1
MPD-2700K-24D-W,0,0,0,1
MPD-3000K-16D-B,0,0,0,1
MPD-3000K-16D-W,0,0,0,1
MPD-3000K-24D-B,0,0,0,1
MPD-3000K-24D-W,3,0,0,1
MPD-CON,6,0,0,1
MPD-EXT-10M,0,0,0,1
MPD-EXT-1M,2,0,0,1
MPD-EXT-5M,0,0,0,1
MPD-SPL2,4,0,0,1
MPL-2700K-16D-B,3,0,0,1
MPL-2700K-24D-B,0,0,0,1
MPL-3000K-16D-B,0,0,0,1
MPL-3000K-24D-B,3,0,0,1
MS-CNV-24V,12,0,0,1
MS-CV-B,48,0,0,1
MS-CV-S,210,0,0,1
MS-LNS-16D,1085,0,500,1
MS-LNS-24D,927,0,500,1
MS-LNS-30D,957,0,500,1
MS-PLUG-UK,66,0,0,1
MS-PLUG-US,148,0,0,1
MS-PS-6CH,167,0,0,1
MS-SKT-B,519,0,100,1
MS-SKT-S,108,0,100,1
MS-SKT-S-10',0,0,0,1
MSP-2700-B-150,40,0,20,1
MSP-2700-B-250,24,0,20,1
MSP-2700-B-30,25,0,20,1
MSP-2700-B-350,9,0,5,1
MSP-2700-S-150,29,0,20,1
MSP-2700-S-250,24,0,20,1
MSP-2700-S-30,27,0,20,1
MSP-2700-S-350,8,0,5,1
MSP-3000-B-150,59,0,50,1
MSP-3000-B-200,0,0,0,1
MSP-3000-B-250,99,0,50,1
MSP-3000-B-30,75,0,50,1
MSP-3000-B-330,0,0,0,1
MSP-3000-B-350,44,0,25,1
MSP-3000-B-80,0,0,0,1
MSP-3000-S-150,98,0,50,1
MSP-3000-S-2,0,0,0,1
MSP-3000-S-200,0,0,0,1
MSP-3000-S-250,66,0,50,1
MSP-3000-S-30,52,0,50,1
MSP-3000-S-350,27,0,25,1
MSP-3000-S-53,0,0,0,1
MSP-3000-S-61,1,0,0,1
MSP-3000-S-75,0,0,0,1
MSP-4000-B-150,28,0,15,1
MSP-4000-B-250,51,0,15,1
MSP-4000-B-30,37,0,15,1
MSP-4000-B-350,18,0,5,1
MSP-4000-S-150,25,0,15,1
MSP-4000-S-250,21,0,15,1
